split,concept,top10_severe_active_rate,top10_severe_mean_membership
2025_01_to_2025_02,Buffer,0.721478134581249,0.6969521868249775
2025_01_to_2025_02,Recurrence,0.30538970469582055,0.2991990802654282
2025_01_to_2025_02,Congested,0.1407939325480071,0.2333144418970564
2025_01_to_2025_02,Upstream,0.743504921736324,0.7281684686138454
2025_01_to_2025_02,Shortfall,0.6979990317895756,0.6809122693776558
2025_01_to_2025_02,Tight turn,0.9089075359044699,0.8250070067859661
2025_02_to_2025_03,Buffer,0.7126219908913468,0.6936266091383305
2025_02_to_2025_03,Recurrence,0.31678594664931686,0.31391378072326614
2025_02_to_2025_03,Congested,0.14743005855562785,0.2366123785438739
2025_02_to_2025_03,Upstream,0.7330513988288875,0.7169967469095642
2025_02_to_2025_03,Shortfall,0.6908262849707222,0.6784523964432877
2025_02_to_2025_03,Tight turn,0.9121014964216005,0.8300804711844674
2025_03_to_2025_04,Buffer,0.7258804523424879,0.6983157486608282
2025_03_to_2025_04,Recurrence,0.32730210016155087,0.3213514476136906
2025_03_to_2025_04,Congested,0.18481421647819063,0.2643541257507154
2025_03_to_2025_04,Upstream,0.7410016155088853,0.7239831987075929
2025_03_to_2025_04,Shortfall,0.7044264943457189,0.6841813677975229
2025_03_to_2025_04,Tight turn,0.9083037156704362,0.8304647563982656
2025_04_to_2025_05,Buffer,0.7039934129271305,0.686416697363004
2025_04_to_2025_05,Recurrence,0.28139151914368055,0.28435407683473807
2025_04_to_2025_05,Congested,0.17167558666117744,0.26635384276949453
2025_04_to_2025_05,Upstream,0.7261733223548785,0.7150665568821188
2025_04_to_2025_05,Shortfall,0.6806813503499383,0.6699752984767393
2025_04_to_2025_05,Tight turn,0.9119493618773158,0.8272009273905224
2025_05_to_2025_06,Buffer,0.7225031849592711,0.701180119352158
2025_05_to_2025_06,Recurrence,0.31235764197197236,0.31209970051770536
2025_05_to_2025_06,Congested,0.16241362004401036,0.25072268995052466
2025_05_to_2025_06,Upstream,0.739837084507586,0.7241385167741189
2025_05_to_2025_06,Shortfall,0.6985677334671659,0.6852838152594937
2025_05_to_2025_06,Tight turn,0.9252596224375554,0.841674099931526
2025_06_to_2025_07,Buffer,0.7272794635248787,0.7051053457065285
2025_06_to_2025_07,Recurrence,0.31640176355081323,0.31735787982708885
2025_06_to_2025_07,Congested,0.17339113037679227,0.25711021122151617
2025_06_to_2025_07,Upstream,0.7439887369864029,0.7302557642671015
2025_06_to_2025_07,Shortfall,0.7039383498203104,0.6902651501117658
2025_06_to_2025_07,Tight turn,0.9180097069393501,0.8341552447306999
2025_07_to_2025_08,Buffer,0.7060910380962777,0.6840762117059923
2025_07_to_2025_08,Recurrence,0.30842702761707236,0.306291207623233
2025_07_to_2025_08,Congested,0.14397991485645673,0.23363464579892307
2025_07_to_2025_08,Upstream,0.7215915293090274,0.710792126041553
2025_07_to_2025_08,Shortfall,0.6827311428883309,0.6697165520503584
2025_07_to_2025_08,Tight turn,0.9070516319179129,0.8249300524534784
2025_08_to_2025_09,Buffer,0.7275369978858351,0.6999598679574199
2025_08_to_2025_09,Recurrence,0.29245947850599013,0.2876770263600129
2025_08_to_2025_09,Congested,0.13372093023255813,0.22777581211562953
2025_08_to_2025_09,Upstream,0.7402219873150105,0.7209995301855767
2025_08_to_2025_09,Shortfall,0.704721634954193,0.6864094432699084
2025_08_to_2025_09,Tight turn,0.9203664552501761,0.8385909276362153
2025_09_to_2025_10,Buffer,0.7054722684928126,0.6830560626379324
2025_09_to_2025_10,Recurrence,0.3074218027022025,0.3123321441604267
2025_09_to_2025_10,Congested,0.1126534641248689,0.21297664284533716
2025_09_to_2025_10,Upstream,0.6903572089579864,0.6867114977275999
2025_09_to_2025_10,Shortfall,0.6846196557468073,0.6692989491434799
2025_09_to_2025_10,Tight turn,0.9357764205071256,0.8652749771894107
2025_10_to_2025_11,Buffer,0.7329249059808323,0.705311019876514
2025_10_to_2025_11,Recurrence,0.31893728011646244,0.31409967087765794
2025_10_to_2025_11,Congested,0.12574305471308989,0.22255289182565088
2025_10_to_2025_11,Upstream,0.7417202474827126,0.7245743863480124
2025_10_to_2025_11,Shortfall,0.7107849084071334,0.6910704031703667
2025_10_to_2025_11,Tight turn,0.9217517893970641,0.8426377724001863
2025_11_to_2025_12,Buffer,0.7341398361592685,0.7076806141854923
2025_11_to_2025_12,Recurrence,0.34297008954086494,0.340685764707062
2025_11_to_2025_12,Congested,0.1491236425985902,0.2393529493991096
2025_11_to_2025_12,Upstream,0.7362831015431511,0.722859592303296
2025_11_to_2025_12,Shortfall,0.7120403886454563,0.6929885057471264
2025_11_to_2025_12,Tight turn,0.919889502762431,0.841488102997062
